CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1719331	1707150	1845614	1743698	1633348	1689696	1497963	1468353	1475221	1480593	1455449	0	1463309	1491300	1479490	1502107	1419265	1299649	1299649	896856	865939	865939	769109	608980



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1463634	7744409	2278940	1742139	1942112	1782045	6342706	2736323	1429092	1583441	1254150	5331879	1548641	1486841	1350180	947220	4047446	1162465	976324	1099885	814445	2621334	720643	741031	598015	561645	2126795	511363	474383	628549	512500	1816413	712887	387475	424205	291846	1349994	384766	368993	339197	259081	1102366	278815	354677	278012	190862	974028	277717	268359	249080	178871	703958	281240
Các khoản giảm trừ doanh thu###Deduction revenues	1074	12526	7	0	4489	8029	1492	0	173	52	1268	4379	654	1985	72	37	6272	866	4220	1011	175	77936	777	48568	26472	2119	6834	2065	4509	240	21	11999	4892	1392	5716	0	18836	720	13189	3690	1237	4893	2661	0	1512	720	27337	18510	8335	15	434	0	11
Doanh thu thuần###Net Sales	1462560	7731883	2278932	1742139	1937623	1774015	6341214	2736323	1428919	1583390	1252883	5327500	1547987	1484856	1350108	947184	4041174	1161599	972104	1098874	814269	2543398	719867	692463	571543	559525	2119961	509299	469874	628309	512479	1804414	707995	386083	418489	291846	1331157	384046	355804	335507	254049	1097473	276154	354677	276500	190142	946692	259207	260024	249066	178437	703958	281229
Giá vốn hàng bán###Cost of goods sold	1377924	7032607	2158618	1590059	1768636	1518759	5342901	2451626	1192920	1336325	1025232	4681231	1346193	1249252	1220800	867365	3707741	1084590	899844	999754	729823	2181049	624794	591757	470806	493692	1861845	451105	403540	534749	472516	1620882	653292	344581	365308	255745	1118285	328668	298661	276056	213987	878971	257389	283667	198623	139293	744423	196107	198425	205966	143925	601481	226819
